scope,board_size,model,language_representation,reasoning_effort,sampling_round,metric_category,metric_name,count,denominator,rate,value
overall,,,,,,outcome,passed,0,15,0.0,
overall,,,,,,outcome,failed,15,15,1.0,
overall,,,,,,outcome,transport_errors,0,15,0.0,
overall,,,,,,primary_failure,sequence,5,15,0.3333333333333333,
overall,,,,,,primary_failure,truncated,10,15,0.6666666666666666,
overall,,,,,,format_robust,passed,0,15,0.0,
overall,,,,,,format_robust,recovered,0,15,0.0,
overall,,,,,,format_robust_failure,sequence,5,15,0.3333333333333333,
overall,,,,,,format_robust_failure,truncated,10,15,0.6666666666666666,
overall,,,,,,failed_constraint,parse_ok,10,15,0.6666666666666666,
overall,,,,,,failed_constraint,sequence_valid,15,15,1.0,
overall,,,,,,failed_constraint,min_length_fulfilled,11,15,0.7333333333333333,
overall,,,,,,failed_constraint,spatial_valid,14,15,0.9333333333333333,
overall,,,,,,failed_constraint,overlap_valid,11,15,0.7333333333333333,
overall,,,,,,failed_constraint,no_word_extension,15,15,1.0,
overall,,,,,,failed_constraint,cross_words_valid,0,15,0.0,
overall,,,,,,failed_constraint,rack_valid,0,15,0.0,
overall,,,,,,timing,request_elapsed_seconds_mean,,,,525.2530228766651
overall,,,,,,timing,request_elapsed_seconds_median,,,,444.2416278300225
overall,,,,,,timing,request_elapsed_seconds_min,,,,324.73147103597876
overall,,,,,,timing,request_elapsed_seconds_max,,,,1015.9637153029907
overall,,,,,,timing,request_elapsed_seconds_sum,,,,7878.795343149977
overall,,,,,,timing,llm_elapsed_seconds_mean,,,,525.2530228766651
overall,,,,,,timing,llm_elapsed_seconds_median,,,,444.2416278300225
overall,,,,,,timing,llm_elapsed_seconds_min,,,,324.73147103597876
overall,,,,,,timing,llm_elapsed_seconds_max,,,,1015.9637153029907
overall,,,,,,timing,llm_elapsed_seconds_sum,,,,7878.795343149977
overall,,,,,,timing,llm_elapsed_seconds_total_mean,,,,525.2530228766651
overall,,,,,,timing,llm_elapsed_seconds_total_median,,,,444.2416278300225
overall,,,,,,timing,llm_elapsed_seconds_total_min,,,,324.73147103597876
overall,,,,,,timing,llm_elapsed_seconds_total_max,,,,1015.9637153029907
overall,,,,,,timing,llm_elapsed_seconds_total_sum,,,,7878.795343149977
overall,,,,,,timing,retry_wait_seconds_total_mean,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_median,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_min,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_max,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_sum,,,,0.0
overall,,,,,,usage,prompt_tokens_mean,,,,32731.6
overall,,,,,,usage,prompt_tokens_median,,,,18777.0
overall,,,,,,usage,prompt_tokens_min,,,,3618.0
overall,,,,,,usage,prompt_tokens_max,,,,103431.0
overall,,,,,,usage,prompt_tokens_sum,,,,490974.0
overall,,,,,,usage,completion_tokens_mean,,,,29888.266666666666
overall,,,,,,usage,completion_tokens_median,,,,32384.0
overall,,,,,,usage,completion_tokens_min,,,,19555.0
overall,,,,,,usage,completion_tokens_max,,,,32844.0
overall,,,,,,usage,completion_tokens_sum,,,,448324.0
overall,,,,,,usage,reasoning_tokens_mean,,,,29875.8
overall,,,,,,usage,reasoning_tokens_median,,,,32383.0
overall,,,,,,usage,reasoning_tokens_min,,,,19519.0
overall,,,,,,usage,reasoning_tokens_max,,,,32804.0
overall,,,,,,usage,reasoning_tokens_sum,,,,448137.0
overall,,,,,,usage,total_tokens_mean,,,,62619.86666666667
overall,,,,,,usage,total_tokens_median,,,,51161.0
overall,,,,,,usage,total_tokens_min,,,,28808.0
overall,,,,,,usage,total_tokens_max,,,,128972.0
overall,,,,,,usage,total_tokens_sum,,,,939298.0
overall,,,,,,quality,rack_symbols_used_mean,,,,0.6666666666666666
overall,,,,,,quality,rack_symbols_used_median,,,,0.0
overall,,,,,,quality,rack_symbols_used_min,,,,0.0
overall,,,,,,quality,rack_symbols_used_max,,,,4.0
overall,,,,,,quality,rack_symbols_used_sum,,,,10.0
overall,,,,,,quality,rack_usage_ratio_mean,,,,0.14
overall,,,,,,quality,rack_usage_ratio_median,,,,0.0
overall,,,,,,quality,rack_usage_ratio_min,,,,0.0
overall,,,,,,quality,rack_usage_ratio_max,,,,0.8
overall,,,,,,quality,rack_usage_ratio_sum,,,,2.1
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,outcome,passed,0,1,0.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,outcome,failed,1,1,1.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,outcome,transport_errors,0,1,0.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,primary_failure,truncated,1,1,1.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,format_robust,passed,0,1,0.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,format_robust,recovered,0,1,0.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,format_robust_failure,truncated,1,1,1.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,parse_ok,1,1,1.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,1,1,1.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,1,1,1.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,1,1,1.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,1,1,1.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,1,1,1.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,1,0.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,1,0.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_mean,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_median,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_min,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_max,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_sum,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_mean,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_median,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_min,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_max,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_sum,,,,327.0918251010007
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_mean,,,,0.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_median,,,,0.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_min,,,,0.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_max,,,,0.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_sum,,,,0.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,usage,prompt_tokens_mean,,,,18076.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,usage,prompt_tokens_median,,,,18076.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,usage,prompt_tokens_min,,,,18076.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,usage,prompt_tokens_max,,,,18076.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,usage,prompt_tokens_sum,,,,18076.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,usage,completion_tokens_mean,,,,32385.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,usage,completion_tokens_median,,,,32385.0
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,usage,completion_tokens_min,,,,32385.0
