scope,board_size,model,language_representation,reasoning_effort,sampling_round,metric_category,metric_name,count,denominator,rate,value
overall,,,,,,outcome,passed,17,35,0.4857142857142857,
overall,,,,,,outcome,failed,18,35,0.5142857142857142,
overall,,,,,,outcome,transport_errors,0,35,0.0,
overall,,,,,,primary_failure,parse,14,18,0.7777777777777778,
overall,,,,,,primary_failure,sequence,2,18,0.1111111111111111,
overall,,,,,,primary_failure,spatial_conflict,1,18,0.05555555555555555,
overall,,,,,,primary_failure,word_extension,1,18,0.05555555555555555,
overall,,,,,,failed_constraint,parse_ok,14,35,0.4,
overall,,,,,,failed_constraint,sequence_valid,16,35,0.45714285714285713,
overall,,,,,,failed_constraint,min_length_fulfilled,15,35,0.42857142857142855,
overall,,,,,,failed_constraint,spatial_valid,16,35,0.45714285714285713,
overall,,,,,,failed_constraint,overlap_valid,15,35,0.42857142857142855,
overall,,,,,,failed_constraint,no_word_extension,17,35,0.4857142857142857,
overall,,,,,,failed_constraint,cross_words_valid,1,35,0.02857142857142857,
overall,,,,,,failed_constraint,rack_valid,0,35,0.0,
overall,,,,,,timing,request_elapsed_seconds_mean,,,,366.7609198369385
overall,,,,,,timing,request_elapsed_seconds_median,,,,316.90148362494074
overall,,,,,,timing,request_elapsed_seconds_min,,,,109.6531425829744
overall,,,,,,timing,request_elapsed_seconds_max,,,,1044.1866870840313
overall,,,,,,timing,request_elapsed_seconds_sum,,,,12836.632194292848
overall,,,,,,timing,llm_elapsed_seconds_mean,,,,366.7609198369385
overall,,,,,,timing,llm_elapsed_seconds_median,,,,316.90148362494074
overall,,,,,,timing,llm_elapsed_seconds_min,,,,109.6531425829744
overall,,,,,,timing,llm_elapsed_seconds_max,,,,1044.1866870840313
overall,,,,,,timing,llm_elapsed_seconds_sum,,,,12836.632194292848
overall,,,,,,timing,llm_elapsed_seconds_total_mean,,,,366.7609198369385
overall,,,,,,timing,llm_elapsed_seconds_total_median,,,,316.90148362494074
overall,,,,,,timing,llm_elapsed_seconds_total_min,,,,109.6531425829744
overall,,,,,,timing,llm_elapsed_seconds_total_max,,,,1044.1866870840313
overall,,,,,,timing,llm_elapsed_seconds_total_sum,,,,12836.632194292848
overall,,,,,,timing,retry_wait_seconds_total_mean,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_median,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_min,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_max,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_sum,,,,0.0
overall,,,,,,usage,prompt_tokens_mean,,,,33868.08571428571
overall,,,,,,usage,prompt_tokens_median,,,,18946.0
overall,,,,,,usage,prompt_tokens_min,,,,3581.0
overall,,,,,,usage,prompt_tokens_max,,,,108372.0
overall,,,,,,usage,prompt_tokens_sum,,,,1185383.0
overall,,,,,,usage,completion_tokens_mean,,,,22348.714285714286
overall,,,,,,usage,completion_tokens_median,,,,23450.0
overall,,,,,,usage,completion_tokens_min,,,,7543.0
overall,,,,,,usage,completion_tokens_max,,,,32385.0
overall,,,,,,usage,completion_tokens_sum,,,,782205.0
overall,,,,,,usage,reasoning_tokens_mean,,,,20652.77142857143
overall,,,,,,usage,reasoning_tokens_median,,,,23423.0
overall,,,,,,usage,reasoning_tokens_min,,,,1366.0
overall,,,,,,usage,reasoning_tokens_max,,,,32384.0
overall,,,,,,usage,reasoning_tokens_sum,,,,722847.0
overall,,,,,,usage,total_tokens_mean,,,,56216.8
overall,,,,,,usage,total_tokens_median,,,,48546.0
overall,,,,,,usage,total_tokens_min,,,,16916.0
overall,,,,,,usage,total_tokens_max,,,,126188.0
overall,,,,,,usage,total_tokens_sum,,,,1967588.0
overall,,,,,,quality,rack_symbols_used_mean,,,,2.4857142857142858
overall,,,,,,quality,rack_symbols_used_median,,,,3.0
overall,,,,,,quality,rack_symbols_used_min,,,,0.0
overall,,,,,,quality,rack_symbols_used_max,,,,5.0
overall,,,,,,quality,rack_symbols_used_sum,,,,87.0
overall,,,,,,quality,rack_usage_ratio_mean,,,,0.5171428571428572
overall,,,,,,quality,rack_usage_ratio_median,,,,0.6
overall,,,,,,quality,rack_usage_ratio_min,,,,0.0
overall,,,,,,quality,rack_usage_ratio_max,,,,1.0
overall,,,,,,quality,rack_usage_ratio_sum,,,,18.1
overall,,,,,,quality,main_word_length_mean,,,,6.0588235294117645
overall,,,,,,quality,main_word_length_median,,,,6.0
overall,,,,,,quality,main_word_length_min,,,,5.0
overall,,,,,,quality,main_word_length_max,,,,8.0
overall,,,,,,quality,main_word_length_sum,,,,103.0
overall,,,,,,quality,overlap_count_mean,,,,1.2941176470588236
overall,,,,,,quality,overlap_count_median,,,,1.0
overall,,,,,,quality,overlap_count_min,,,,1.0
overall,,,,,,quality,overlap_count_max,,,,3.0
overall,,,,,,quality,overlap_count_sum,,,,22.0
overall,,,,,,quality,letter_score_total_mean,,,,11.823529411764707
overall,,,,,,quality,letter_score_total_median,,,,11.0
overall,,,,,,quality,letter_score_total_min,,,,7.0
overall,,,,,,quality,letter_score_total_max,,,,21.0
overall,,,,,,quality,letter_score_total_sum,,,,201.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,passed,1,1,1.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,failed,0,1,0.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,transport_errors,0,1,0.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,1,0.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,1,0.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,1,0.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,1,0.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,1,0.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,1,0.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,1,0.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,1,0.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_mean,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_median,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_min,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_max,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_sum,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_mean,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_median,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_min,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_max,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_sum,,,,240.73530816601124
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_mean,,,,0.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_median,,,,0.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_min,,,,0.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_max,,,,0.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_sum,,,,0.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_mean,,,,25453.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_median,,,,25453.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_min,,,,25453.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_max,,,,25453.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_sum,,,,25453.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_mean,,,,17015.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_median,,,,17015.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_min,,,,17015.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_max,,,,17015.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_sum,,,,17015.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_mean,,,,2138.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_median,,,,2138.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_min,,,,2138.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_max,,,,2138.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_sum,,,,2138.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_mean,,,,42468.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_median,,,,42468.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_min,,,,42468.0
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_max,,,,42468.0
