scope,board_size,model,language_representation,reasoning_effort,sampling_round,metric_category,metric_name,count,denominator,rate,value
overall,,,,,,outcome,passed,0,0,,
overall,,,,,,outcome,failed,0,0,,
overall,,,,,,outcome,transport_errors,35,35,1.0,
overall,,,,,,failed_constraint,parse_ok,0,0,,
overall,,,,,,failed_constraint,sequence_valid,0,0,,
overall,,,,,,failed_constraint,min_length_fulfilled,0,0,,
overall,,,,,,failed_constraint,spatial_valid,0,0,,
overall,,,,,,failed_constraint,overlap_valid,0,0,,
overall,,,,,,failed_constraint,no_word_extension,0,0,,
overall,,,,,,failed_constraint,cross_words_valid,0,0,,
overall,,,,,,failed_constraint,rack_valid,0,0,,
overall,,,,,,timing,request_elapsed_seconds_mean,,,,0.3071284155294831
overall,,,,,,timing,request_elapsed_seconds_median,,,,0.3061022909823805
overall,,,,,,timing,request_elapsed_seconds_min,,,,0.1077330419793725
overall,,,,,,timing,request_elapsed_seconds_max,,,,0.6170677499612793
overall,,,,,,timing,request_elapsed_seconds_sum,,,,10.74949454353191
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,passed,0,0,,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,failed,0,0,,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,transport_errors,1,1,1.0,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,0,,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,0,,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,0,,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,0,,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,0,,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,0,,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,0,,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,0,,
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,0.2283440420869738
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,0.2283440420869738
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,0.2283440420869738
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,0.2283440420869738
group,200,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,0.2283440420869738
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,outcome,passed,0,0,,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,outcome,failed,0,0,,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,outcome,transport_errors,1,1,1.0,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,0,,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,0,,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,0,,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,0,,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,0,,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,0,,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,0,,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,0,,
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,0.3544462500140071
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,0.3544462500140071
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,0.3544462500140071
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,0.3544462500140071
group,200,or_deepseek-v4-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,0.3544462500140071
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,outcome,passed,0,0,,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,outcome,failed,0,0,,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,outcome,transport_errors,1,1,1.0,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,0,,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,0,,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,0,,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,0,,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,0,,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,0,,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,0,,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,0,,
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,0.24229974998161197
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,0.24229974998161197
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,0.24229974998161197
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,0.24229974998161197
group,200,or_gemini-3-1-pro,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,0.24229974998161197
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,outcome,passed,0,0,,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,outcome,failed,0,0,,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,outcome,transport_errors,1,1,1.0,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,0,,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,0,,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,0,,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,0,,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,0,,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,0,,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,0,,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,0,,
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,0.6144496669294313
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,0.6144496669294313
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,0.6144496669294313
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,0.6144496669294313
group,200,or_gpt-5-5,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,0.6144496669294313
group,200,or_grok-4-3,forbidden-snippets,xhigh,,outcome,passed,0,0,,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,outcome,failed,0,0,,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,outcome,transport_errors,1,1,1.0,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,0,,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,0,,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,0,,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,0,,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,0,,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,0,,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,0,,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,0,,
group,200,or_grok-4-3,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,0.14540529192890972
group,200,or_grok-4-3,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,0.14540529192890972
group,200,or_grok-4-3,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,0.14540529192890972
group,200,or_grok-4-3,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,0.14540529192890972
group,200,or_grok-4-3,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,0.14540529192890972
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,outcome,passed,0,0,,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,outcome,failed,0,0,,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,outcome,transport_errors,1,1,1.0,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,0,,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,0,,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,0,,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,0,,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,0,,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,0,,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,0,,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,0,,
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,0.27341237501241267
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,0.27341237501241267
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,0.27341237501241267
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,0.27341237501241267
group,200,or_kimi-k2-6,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,0.27341237501241267
group,200,or_qwen3-7-max,forbidden-snippets,xhigh,,outcome,passed,0,0,,
group,200,or_qwen3-7-max,forbidden-snippets,xhigh,,outcome,failed,0,0,,
group,200,or_qwen3-7-max,forbidden-snippets,xhigh,,outcome,transport_errors,1,1,1.0,
group,200,or_qwen3-7-max,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,0,,
group,200,or_qwen3-7-max,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,0,,
