scope,board_size,model,language_representation,reasoning_effort,sampling_round,metric_category,metric_name,count,denominator,rate,value
overall,,,,,,outcome,passed,6,7,0.8571428571428571,
overall,,,,,,outcome,failed,1,7,0.14285714285714285,
overall,,,,,,outcome,transport_errors,0,7,0.0,
overall,,,,,,primary_failure,sequence,1,1,1.0,
overall,,,,,,format_robust,passed,6,7,0.8571428571428571,
overall,,,,,,format_robust,recovered,0,7,0.0,
overall,,,,,,format_robust_failure,sequence,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,parse_ok,0,7,0.0,
overall,,,,,,failed_constraint,sequence_valid,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,min_length_fulfilled,0,7,0.0,
overall,,,,,,failed_constraint,spatial_valid,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,overlap_valid,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,no_word_extension,0,7,0.0,
overall,,,,,,failed_constraint,cross_words_valid,0,7,0.0,
overall,,,,,,failed_constraint,rack_valid,1,7,0.14285714285714285,
overall,,,,,,timing,request_elapsed_seconds_mean,,,,220.65612898470135
overall,,,,,,timing,request_elapsed_seconds_median,,,,126.10332031099824
overall,,,,,,timing,request_elapsed_seconds_min,,,,61.68941144697601
overall,,,,,,timing,request_elapsed_seconds_max,,,,579.8494210430072
overall,,,,,,timing,request_elapsed_seconds_sum,,,,1544.5929028929095
overall,,,,,,timing,llm_elapsed_seconds_mean,,,,220.65612898470135
overall,,,,,,timing,llm_elapsed_seconds_median,,,,126.10332031099824
overall,,,,,,timing,llm_elapsed_seconds_min,,,,61.68941144697601
overall,,,,,,timing,llm_elapsed_seconds_max,,,,579.8494210430072
overall,,,,,,timing,llm_elapsed_seconds_sum,,,,1544.5929028929095
overall,,,,,,timing,llm_elapsed_seconds_total_mean,,,,220.65612898470135
overall,,,,,,timing,llm_elapsed_seconds_total_median,,,,126.10332031099824
overall,,,,,,timing,llm_elapsed_seconds_total_min,,,,61.68941144697601
overall,,,,,,timing,llm_elapsed_seconds_total_max,,,,579.8494210430072
overall,,,,,,timing,llm_elapsed_seconds_total_sum,,,,1544.5929028929095
overall,,,,,,timing,retry_wait_seconds_total_mean,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_median,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_min,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_max,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_sum,,,,0.0
overall,,,,,,usage,prompt_tokens_mean,,,,1809.5714285714287
overall,,,,,,usage,prompt_tokens_median,,,,1696.0
overall,,,,,,usage,prompt_tokens_min,,,,1613.0
overall,,,,,,usage,prompt_tokens_max,,,,2428.0
overall,,,,,,usage,prompt_tokens_sum,,,,12667.0
overall,,,,,,usage,completion_tokens_mean,,,,13492.57142857143
overall,,,,,,usage,completion_tokens_median,,,,9133.0
overall,,,,,,usage,completion_tokens_min,,,,3847.0
overall,,,,,,usage,completion_tokens_max,,,,26656.0
overall,,,,,,usage,completion_tokens_sum,,,,94448.0
overall,,,,,,usage,reasoning_tokens_mean,,,,12370.285714285714
overall,,,,,,usage,reasoning_tokens_median,,,,9097.0
overall,,,,,,usage,reasoning_tokens_min,,,,1213.0
overall,,,,,,usage,reasoning_tokens_max,,,,26617.0
overall,,,,,,usage,reasoning_tokens_sum,,,,86592.0
overall,,,,,,usage,total_tokens_mean,,,,15302.142857142857
overall,,,,,,usage,total_tokens_median,,,,11268.0
overall,,,,,,usage,total_tokens_min,,,,5564.0
overall,,,,,,usage,total_tokens_max,,,,28285.0
overall,,,,,,usage,total_tokens_sum,,,,107115.0
overall,,,,,,quality,rack_symbols_used_mean,,,,4.857142857142857
overall,,,,,,quality,rack_symbols_used_median,,,,5.0
overall,,,,,,quality,rack_symbols_used_min,,,,4.0
overall,,,,,,quality,rack_symbols_used_max,,,,5.0
overall,,,,,,quality,rack_symbols_used_sum,,,,34.0
overall,,,,,,quality,rack_usage_ratio_mean,,,,0.9714285714285714
overall,,,,,,quality,rack_usage_ratio_median,,,,1.0
overall,,,,,,quality,rack_usage_ratio_min,,,,0.8
overall,,,,,,quality,rack_usage_ratio_max,,,,1.0
overall,,,,,,quality,rack_usage_ratio_sum,,,,6.8
overall,,,,,,quality,main_word_length_mean,,,,6.0
overall,,,,,,quality,main_word_length_median,,,,6.0
overall,,,,,,quality,main_word_length_min,,,,6.0
overall,,,,,,quality,main_word_length_max,,,,6.0
overall,,,,,,quality,main_word_length_sum,,,,36.0
overall,,,,,,quality,overlap_count_mean,,,,1.0
overall,,,,,,quality,overlap_count_median,,,,1.0
overall,,,,,,quality,overlap_count_min,,,,1.0
overall,,,,,,quality,overlap_count_max,,,,1.0
overall,,,,,,quality,overlap_count_sum,,,,6.0
overall,,,,,,quality,letter_score_total_mean,,,,13.0
overall,,,,,,quality,letter_score_total_median,,,,13.0
overall,,,,,,quality,letter_score_total_min,,,,13.0
overall,,,,,,quality,letter_score_total_max,,,,13.0
overall,,,,,,quality,letter_score_total_sum,,,,78.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,passed,1,1,1.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,failed,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,transport_errors,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,format_robust,passed,1,1,1.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,format_robust,recovered,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_mean,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_median,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_min,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_max,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_sum,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_mean,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_median,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_min,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_max,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_sum,,,,107.11745832697488
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_mean,,,,0.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_median,,,,0.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_min,,,,0.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_max,,,,0.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_sum,,,,0.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_mean,,,,2428.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_median,,,,2428.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_min,,,,2428.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_max,,,,2428.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_sum,,,,2428.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_mean,,,,8840.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_median,,,,8840.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_min,,,,8840.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_max,,,,8840.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_sum,,,,8840.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_mean,,,,1213.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_median,,,,1213.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_min,,,,1213.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_max,,,,1213.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_sum,,,,1213.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_mean,,,,11268.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_median,,,,11268.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_min,,,,11268.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_max,,,,11268.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_sum,,,,11268.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,quality,rack_symbols_used_mean,,,,5.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,quality,rack_symbols_used_median,,,,5.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,quality,rack_symbols_used_min,,,,5.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,quality,rack_symbols_used_max,,,,5.0
