scope,board_size,model,language_representation,reasoning_effort,sampling_round,metric_category,metric_name,count,denominator,rate,value
overall,,,,,,outcome,passed,5,7,0.7142857142857143,
overall,,,,,,outcome,failed,2,7,0.2857142857142857,
overall,,,,,,outcome,transport_errors,0,7,0.0,
overall,,,,,,primary_failure,parse,1,2,0.5,
overall,,,,,,primary_failure,sequence,1,2,0.5,
overall,,,,,,failed_constraint,parse_ok,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,sequence_valid,2,7,0.2857142857142857,
overall,,,,,,failed_constraint,min_length_fulfilled,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,spatial_valid,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,overlap_valid,2,7,0.2857142857142857,
overall,,,,,,failed_constraint,no_word_extension,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,cross_words_valid,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,rack_valid,0,7,0.0,
overall,,,,,,timing,request_elapsed_seconds_mean,,,,313.2315864999878
overall,,,,,,timing,request_elapsed_seconds_median,,,,204.36976591695566
overall,,,,,,timing,request_elapsed_seconds_min,,,,64.09333141695242
overall,,,,,,timing,request_elapsed_seconds_max,,,,945.9329709999729
overall,,,,,,timing,request_elapsed_seconds_sum,,,,2192.621105499915
overall,,,,,,timing,llm_elapsed_seconds_mean,,,,313.2315864999878
overall,,,,,,timing,llm_elapsed_seconds_median,,,,204.36976591695566
overall,,,,,,timing,llm_elapsed_seconds_min,,,,64.09333141695242
overall,,,,,,timing,llm_elapsed_seconds_max,,,,945.9329709999729
overall,,,,,,timing,llm_elapsed_seconds_sum,,,,2192.621105499915
overall,,,,,,timing,llm_elapsed_seconds_total_mean,,,,313.2315864999878
overall,,,,,,timing,llm_elapsed_seconds_total_median,,,,204.36976591695566
overall,,,,,,timing,llm_elapsed_seconds_total_min,,,,64.09333141695242
overall,,,,,,timing,llm_elapsed_seconds_total_max,,,,945.9329709999729
overall,,,,,,timing,llm_elapsed_seconds_total_sum,,,,2192.621105499915
overall,,,,,,timing,retry_wait_seconds_total_mean,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_median,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_min,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_max,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_sum,,,,0.0
overall,,,,,,usage,prompt_tokens_mean,,,,1773.4285714285713
overall,,,,,,usage,prompt_tokens_median,,,,1646.0
overall,,,,,,usage,prompt_tokens_min,,,,1564.0
overall,,,,,,usage,prompt_tokens_max,,,,2456.0
overall,,,,,,usage,prompt_tokens_sum,,,,12414.0
overall,,,,,,usage,completion_tokens_mean,,,,17634.14285714286
overall,,,,,,usage,completion_tokens_median,,,,12247.0
overall,,,,,,usage,completion_tokens_min,,,,7325.0
overall,,,,,,usage,completion_tokens_max,,,,32385.0
overall,,,,,,usage,completion_tokens_sum,,,,123439.0
overall,,,,,,usage,reasoning_tokens_mean,,,,16583.714285714286
overall,,,,,,usage,reasoning_tokens_median,,,,12221.0
overall,,,,,,usage,reasoning_tokens_min,,,,1124.0
overall,,,,,,usage,reasoning_tokens_max,,,,32384.0
overall,,,,,,usage,reasoning_tokens_sum,,,,116086.0
overall,,,,,,usage,total_tokens_mean,,,,19407.571428571428
overall,,,,,,usage,total_tokens_median,,,,14097.0
overall,,,,,,usage,total_tokens_min,,,,8946.0
overall,,,,,,usage,total_tokens_max,,,,34010.0
overall,,,,,,usage,total_tokens_sum,,,,135853.0
overall,,,,,,quality,rack_symbols_used_mean,,,,4.0
overall,,,,,,quality,rack_symbols_used_median,,,,5.0
overall,,,,,,quality,rack_symbols_used_min,,,,0.0
overall,,,,,,quality,rack_symbols_used_max,,,,5.0
overall,,,,,,quality,rack_symbols_used_sum,,,,28.0
overall,,,,,,quality,rack_usage_ratio_mean,,,,0.7999999999999999
overall,,,,,,quality,rack_usage_ratio_median,,,,1.0
overall,,,,,,quality,rack_usage_ratio_min,,,,0.0
overall,,,,,,quality,rack_usage_ratio_max,,,,1.0
overall,,,,,,quality,rack_usage_ratio_sum,,,,5.6
overall,,,,,,quality,main_word_length_mean,,,,6.0
overall,,,,,,quality,main_word_length_median,,,,6.0
overall,,,,,,quality,main_word_length_min,,,,6.0
overall,,,,,,quality,main_word_length_max,,,,6.0
overall,,,,,,quality,main_word_length_sum,,,,30.0
overall,,,,,,quality,overlap_count_mean,,,,1.0
overall,,,,,,quality,overlap_count_median,,,,1.0
overall,,,,,,quality,overlap_count_min,,,,1.0
overall,,,,,,quality,overlap_count_max,,,,1.0
overall,,,,,,quality,overlap_count_sum,,,,5.0
overall,,,,,,quality,letter_score_total_mean,,,,13.6
overall,,,,,,quality,letter_score_total_median,,,,14.0
overall,,,,,,quality,letter_score_total_min,,,,13.0
overall,,,,,,quality,letter_score_total_max,,,,14.0
overall,,,,,,quality,letter_score_total_sum,,,,68.0
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,passed,1,1,1.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,failed,0,1,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,transport_errors,0,1,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,1,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,1,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,1,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,1,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,1,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,1,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,1,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,1,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,95.49738116702065
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,95.49738116702065
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,95.49738116702065
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,95.49738116702065
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,95.49738116702065
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_mean,,,,95.49738116702065
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_median,,,,95.49738116702065
